BLDG #,ADDRESS #,STREET,NUMBER OF UNITS (HIP OR GABLE),BLD TYPE,MANUFACTURE,CLASS,COLOR,RE-ROOF COMPLETION,2025 INSP Rating,REPAIR COST,Vent Type (#),Vent Replacement,Partial Gutters,Full Gutter Replacement,DESCRIPTION,Claim Number,,
1,"8237, 41, 45, 49",S WINNIPEG CIR,4  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Dec-13,2,"$3,288",Power (4) ,"$4,120",,"$3,241","REPLACE 4 SUARES OR DAMAGED SHINGLES AND NECESSARY RIDGE CAPS; REMOVE 4 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT",,,
2,"8259, 65, 71",S WINNIPEG CT,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Dec-13,5,,Power (3),"$2,658",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
3,"8264, 70, 76",S WINNIPEG CT,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Dec-13,4,,Power (3),"$2,752","$1,518","$1,632"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + REPLACE 198' OF GUTTERS (FULL REPLACEMENT) ",,,
4,"8246, 52, 58",S WINNIPEG CT,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Jan-14,4,,Power (3),"$2,658",,"$2,923"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
5,"8230, 36, 40",S WINNIPEG CT,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Jan-14,4,,Power (3),"$2,752",,"$1,632"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
6,"8212, 18, 24",S WINNIPEG CT,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,MOIRE BLCK,Jan-14,4,,Power (3),"$2,658",,"$2,923"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
7,"8188,94, 8200, 06",S WINNIPEG CT,4  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Jan-14,4,,Power (4) ,"$4,120",,"$2,449"," REMOVE 4 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
8,"8170, 76, 82",S WINNIPEG CT,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Jan-14,5,,Power (3),"$2,658",,"$2,923"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
9,"8238, 42, 48",S WINNIPEG CIR,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,MOIRE BLCK,Feb-14,5,,Power (3),"$2,658",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
10,"8215, 19, 25, 29",S WINNIPEG CT,4  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,MOIRE BLCK,Feb-14,5,`,Power (4),"$4,120",,," REMOVE 4 POWER VENTS, INSTALL RIDGE VENT ",,,
11,"8195, 8201, 07",S WINNIPEG CT,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Feb-14,3,,Power (3),"$2,658",,"$2,923"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPALCEMENT ",,,
12,"8181, 85, 89",S WINNIPEG CIR,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Feb-14,4,,Power (3),"$2,752","$32,444","$1,632"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
13,"8016, 18, 20, 22, 24, 26",S ALGONQUIAN CT,6  (H) 2,HIP,CERTAINTEED,IKO - NORDIC,BROWNSTONE,May-25,5,,Power (6) ,"$5,217",,"$3,992"," REMOVE 6 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
14,"8017, 25, 27",S ALGONQUIAN CIR,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Dec-13,3,,Power (3),"$2,752",,"$2,922"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
15,"8005, 07, 15",S ALGONQUIAN CIR,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,MOIRE BLCK,Dec-13,4,,Power (3),"$2,658",,"$2,922"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
16,"7987, 95, 97",S ALGONQUIAN CIR,3  (G) 2,GABLE,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Dec-13,3,,Power (3),"$2,752",,"$2,922"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
17,"7967, 75, 77, 85",S ALGONQUIAN CIR,4  (H) 1,HIP,CERTAINTEED,,BLACK,,5,,RVs,,,"$3,241"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
18,"7947, 55, 57, 65",S ALGONQUIAN CIR,4  (H) 1,HIP,CERTAINTEED,,WEATHERWOOD,,5,,RVs,,,"$3,241", FULL GUTTER REPLACEMENT ,,,
19,"7935, 37, 45",S ALGONQUIAN CIR,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Jan-14,5,,Power (3),"$2,752",,"$2,922"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
